hostname,pl_name,pl_rade,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,is_habitable
TOI-4010,TOI-4010 b,3.02,0.0229,1441.0,4960.0,0.83,0.88,0
TOI-2384,TOI-2384 b,11.48920522,0.02793,889.7,3943.0,0.6113,0.635,0
K2-321,K2-321 b,1.95,0.041,701.0,3855.0,0.583,0.599,0
HAT-P-28,HAT-P-28 b,13.585,0.0434,1384.0,5680.0,1.103,1.025,0
HD 3167,HD 3167 c,2.86,0.1841,531.0,5528.0,0.87,0.94,0
TOI-1710,TOI-1710 b,5.15,0.164,730.0,5730.0,0.95,0.99,0
TOI-3894,TOI-3894 b,15.22179579,0.0543,1519.0,6000.0,1.502,1.138,0
NGTS-10,NGTS-10 b,13.506845,0.0143,1332.0,4600.0,0.697,0.696,0
HD 3167,HD 3167 b,1.574,0.01752,1759.0,5286.0,0.835,0.877,0
COCONUTS-2 A,COCONUTS-2 b,12.44196858,7506.0,434.0,3406.0,0.388,0.37,0
Kepler-549,Kepler-549 d,3.65,0.1562,565.0,5467.0,0.856,0.839,0
Kepler-395,Kepler-395 b,0.78,0.0537,450.0,3735.0,0.4,0.413,0
Kepler-1515,Kepler-1515 b,9.33,0.7455,390.0,6517.0,1.375,1.203,0
Kepler-703,Kepler-703 b,5.4,0.054,1027.0,5796.0,0.87,0.98,0
Kepler-1471,Kepler-1471 b,1.32,0.0429,1153.0,5881.0,0.848,0.794,0
Kepler-1644,Kepler-1644 b,1.8,0.142,607.0,5722.0,0.821,0.856,0
Kepler-325,Kepler-325 d,2.62,0.2179,498.0,5445.0,0.937,0.919,0
KOI-1257,KOI-1257 b,10.54,0.382,511.0,5520.0,1.13,0.99,0
Kepler-82,Kepler-82 e,2.3,0.062,958.0,5700.0,0.9,0.922,0
Kepler-1369,Kepler-1369 b,2.9,0.171,660.0,5987.0,1.07,1.0,0
Kepler-697,Kepler-697 b,3.96,0.0462,1056.0,5576.0,0.852,0.953,0
Kepler-1466,Kepler-1466 b,1.38,0.1942,585.0,6086.0,0.921,1.003,0
Kepler-1889,Kepler-1889 b,2.59,0.2073,494.0,5641.0,0.817,0.853,0
Kepler-1668,Kepler-1668 b,4.3,0.124,721.0,5900.0,0.951,1.065,0
Kepler-1772,Kepler-1772 b,2.69,0.044,1779.0,5779.0,2.142,1.098,0
Kepler-202,Kepler-202 b,1.53,0.0449,802.0,4671.0,0.68,0.75,0
Kepler-908,Kepler-908 b,1.07,0.0248,1692.0,5977.0,1.022,1.133,0
Kepler-60,Kepler-60 d,1.76,0.1055,1013.0,6200.0,1.448,1.105,0
Kepler-188,Kepler-188 b,1.84,0.032,1571.0,6008.0,1.12,1.01,0
Kepler-1077,Kepler-1077 b,2.64,0.2101,576.0,6091.0,0.967,1.045,0
Kepler-1005,Kepler-1005 b,1.52,0.0663,1027.0,5718.0,1.099,0.921,0
Kepler-1890,Kepler-1890 b,0.84,0.0588,1350.0,6483.0,1.31,1.164,0
Kepler-1892,Kepler-1892 b,1.48,0.0633,821.0,5376.0,0.758,0.849,0
Kepler-1586,Kepler-1586 b,1.95,0.13,1109.0,6245.0,2.106,1.201,0
Kepler-183,Kepler-183 b,2.19,0.0632,1004.0,5888.0,0.944,1.037,0
Kepler-132,Kepler-132 b,1.22,0.066,1033.0,5925.0,1.03,0.982,0
Kepler-1722,Kepler-1722 b,2.2,0.083,755.0,5506.0,0.8,0.895,0
Kepler-280,Kepler-280 c,1.84,0.0545,1004.0,5741.0,0.856,0.934,0
Kepler-301,Kepler-301 c,1.38,0.0593,989.0,5814.0,0.881,0.944,0
Kepler-107,Kepler-107 e,3.07,0.1227,875.0,5851.0,1.411,1.142,0
Kepler-1509,Kepler-1509 b,1.91,0.1733,653.0,6077.0,1.027,1.068,0
Kepler-568,Kepler-568 b,2.11,0.078,418.0,3744.0,0.5,0.52,0
TOI-1248,TOI-1248 b,6.8084859,0.051,952.09,5205.0,0.8686,0.9042,0
TOI-4773,TOI-4773 b,15.22179579,0.03216,2255.0,6740.0,1.55,1.452,0
Kepler-1272,Kepler-1272 b,2.41,0.2704,542.0,6071.0,1.107,1.005,0
Kepler-675,Kepler-675 b,2.38,0.0317,1054.0,4989.0,0.727,0.778,0
K2-240,K2-240 b,2.0,0.0513,586.0,3810.0,0.54,0.58,0
Kepler-1536,Kepler-1536 b,2.98,0.8507,166.0,4386.0,0.63,0.616,0
Kepler-1248,Kepler-1248 b,1.04,0.0806,1035.0,6161.0,1.169,1.251,0
Kepler-392,Kepler-392 b,1.2,0.064,1364.0,6482.0,1.46,1.23,0
Kepler-1807,Kepler-1807 b,2.14,0.0988,1108.0,6455.0,1.496,1.087,0
Kepler-524,Kepler-524 c,1.03,0.0302,1717.0,6049.0,1.251,1.031,0
Kepler-1146,Kepler-1146 b,1.35,0.0324,1027.0,4816.0,0.757,0.82,0
Kepler-79,Kepler-79 b,2.73,0.114,850.0,6388.0,1.037,1.084,0
Kepler-1218,Kepler-1218 b,1.36,0.1564,684.0,5897.0,1.081,0.97,0
Kepler-1630,Kepler-1630 b,2.62,1.1218,182.0,5037.0,0.756,0.724,0
Kepler-1828,Kepler-1828 b,1.74,0.0909,774.0,5718.0,0.856,0.943,0
Kepler-1347,Kepler-1347 b,0.99,0.104,617.0,5153.0,0.767,0.763,0
Kepler-1748,Kepler-1748 b,3.3,0.064,923.0,5542.0,0.91,1.03,0
Kepler-745,Kepler-745 b,1.92,0.0908,824.0,5880.0,0.917,1.01,0
Kepler-149,Kepler-149 c,1.66,0.2691,429.0,5529.0,0.832,0.848,0
Kepler-248,Kepler-248 c,4.14,0.1229,598.0,5191.0,0.837,0.937,0
Kepler-1438,Kepler-1438 b,0.88,0.033,1230.0,5529.0,0.84,0.88,0
Kepler-105,Kepler-105 c,1.91,0.077,1182.0,6398.0,1.35,1.18,0
Kepler-716,Kepler-716 c,1.78,0.046,992.0,5121.0,0.888,0.822,0
Kepler-259,Kepler-259 c,2.71,0.2155,530.0,5926.0,0.887,0.978,0
Kepler-415,Kepler-415 b,1.61,0.0446,758.0,4523.0,0.643,0.674,0
Kepler-1470,Kepler-1470 b,1.15,0.116,574.0,4915.0,0.812,0.781,0
Kepler-109,Kepler-109 c,2.65,0.1546,859.0,5950.0,1.387,1.094,0
Kepler-1825,Kepler-1825 b,1.35,0.0181,1468.0,5035.0,0.791,0.754,0
Kepler-431,Kepler-431 c,0.72,0.085,945.0,6006.0,1.082,1.081,0
Kepler-534,Kepler-534 c,1.06,0.0761,932.0,5936.0,0.965,1.075,0
Kepler-147,Kepler-147 b,1.33,0.1098,953.0,6007.0,1.42,1.108,0
Kepler-562,Kepler-562 b,5.12,0.1333,658.0,5815.0,0.877,0.973,0
Kepler-351,Kepler-351 b,2.74,0.2112,497.0,5646.0,0.841,0.914,0
Kepler-1728,Kepler-1728 b,2.5,0.0535,886.0,5170.0,0.807,0.891,0
Kepler-877,Kepler-877 b,2.3,0.1303,615.0,5413.0,0.865,0.865,0
Kepler-58,Kepler-58 b,3.1,0.0927,920.0,6100.0,1.083,1.017,0
Kepler-1491,Kepler-1491 b,1.39,0.1278,695.0,5880.0,0.917,1.01,0
Kepler-400,Kepler-400 b,1.76,0.086,965.0,6062.0,1.12,1.03,0
Kepler-271,Kepler-271 d,0.71,0.0554,978.0,5516.0,0.895,0.82,0
Kepler-1335,Kepler-1335 b,1.61,0.0615,809.0,5032.0,0.817,0.789,0
TOI-4734,TOI-4734 b,10.9175472,0.074,1468.0,6070.0,1.857,1.391,0
KIC 5437945,Kepler-460 c,6.1,0.721,389.0,6340.0,1.393,1.031,0
Kepler-705,Kepler-705 b,2.76,0.232,265.0,3674.0,0.502,0.534,0
TOI-1386,TOI-1386 b,6.2163865,0.173,615.03,5735.0,1.0235,1.0363,0
Kepler-257,Kepler-257 c,4.56,0.0656,881.0,5188.0,0.973,0.868,0
Kepler-1569,Kepler-1569 b,1.25,0.064,1124.0,6185.0,1.087,1.038,0
Kepler-787,Kepler-787 b,1.47,0.017,1405.0,4894.0,0.72,0.76,0
Kepler-1136,Kepler-1136 b,1.37,0.03,883.0,4485.0,0.598,0.627,0
Kepler-1030,Kepler-1030 b,2.52,0.1345,534.0,5023.0,0.78,0.866,0
Kepler-1609,Kepler-1609 b,2.05,0.4932,428.0,6257.0,1.186,1.226,0
Kepler-1254,Kepler-1254 b,1.54,0.084,679.0,5130.0,0.756,0.79,0
Kepler-1771,Kepler-1771 b,2.51,0.3815,391.0,5661.0,0.934,0.941,0
Kepler-1820,Kepler-1820 b,2.7,0.1964,561.0,5841.0,0.931,1.047,0
Kepler-1397,Kepler-1397 b,1.61,0.2602,551.0,6007.0,1.126,1.042,0
Kepler-161,Kepler-161 b,2.14,0.0532,868.0,5076.0,0.799,0.827,0
Kepler-1389,Kepler-1389 b,1.77,0.3825,318.0,5129.0,0.754,0.756,1
Kepler-1563,Kepler-1563 b,0.75,0.0442,1134.0,5757.0,0.881,0.974,0
Kepler-377,Kepler-377 b,1.16,0.109,835.0,6207.0,1.01,1.104,0
Kepler-487,Kepler-487 c,2.62,0.2164,504.0,5700.0,0.87,0.903,0
Kepler-1032,Kepler-1032 b,1.49,0.0361,802.0,4484.0,0.594,0.58,0
Kepler-323,Kepler-323 c,1.93,0.0474,1493.0,6277.0,1.378,1.123,0
Kepler-1352,Kepler-1352 b,0.84,0.031,1757.0,6333.0,1.23,1.14,0
Kepler-515,Kepler-515 b,1.75,0.1443,671.0,5780.0,1.0,1.0,0
Kepler-1178,Kepler-1178 b,0.73,0.1596,378.0,4729.0,0.525,0.534,0
Kepler-325,Kepler-325 c,3.33,0.1029,783.0,5749.0,0.982,0.892,0
Kepler-1202,Kepler-1202 b,2.4,0.1784,546.0,5722.0,0.835,0.918,0
Kepler-84,Kepler-84 e,2.3,0.1784,636.0,6028.0,1.022,1.005,0
Kepler-1407,Kepler-1407 b,2.16,0.1494,736.0,6086.0,1.122,1.101,0
Kepler-1489,Kepler-1489 b,1.67,0.3579,408.0,6004.0,0.85,0.901,0
Kepler-265,Kepler-265 b,1.67,0.0677,1022.0,5839.0,1.067,0.881,0
Kepler-370,Kepler-370 c,1.91,0.1381,649.0,5845.0,0.874,0.968,0
Kepler-343,Kepler-343 b,1.79,0.0853,946.0,6122.0,1.047,1.022,0
Kepler-281,Kepler-281 c,4.9,0.211,499.0,5675.0,0.84,0.943,0
Kepler-393,Kepler-393 b,1.51,0.0939,1228.0,6735.0,1.604,1.315,0
Kepler-394,Kepler-394 d,1.5,0.0647,1197.0,6426.0,1.154,1.145,0
Kepler-237,Kepler-237 b,1.5,0.0496,824.0,4861.0,0.732,0.733,0
Kepler-1608,Kepler-1608 b,1.63,0.1126,612.0,5364.0,0.754,0.702,0
Kepler-204,Kepler-204 c,1.78,0.1689,683.0,5815.0,1.198,0.976,0
Kepler-1164,Kepler-1164 b,1.22,0.0456,982.0,5211.0,0.832,0.799,0
Kepler-666,Kepler-666 b,2.21,0.0542,1133.0,6075.0,0.969,1.048,0
KOI-351,KOI-351 g,6.86,0.6856,341.0,6238.0,1.054,0.967,0
Kepler-79,Kepler-79 e,3.0,0.387,477.0,6405.0,1.1,1.18,0
Kepler-173,Kepler-173 b,1.28,0.0476,1179.0,6032.0,0.935,0.793,0
Kepler-117,Kepler-117 b,6.04,0.1473,808.0,6466.0,1.183,1.205,0
Kepler-256,Kepler-256 b,1.37,0.0277,1545.0,5936.0,0.965,1.075,0
Kepler-1882,Kepler-1882 b,1.55,0.1151,894.0,5691.0,1.458,1.068,0
Kepler-1256,Kepler-1256 b,1.5,0.1063,933.0,5945.0,1.346,1.039,0
Kepler-438,Kepler-438 b,0.97,0.1729,288.0,3749.0,0.524,0.554,1
Kepler-330,Kepler-330 c,2.21,0.116,570.0,5108.0,0.743,0.825,0
Kepler-668,Kepler-668 b,2.52,0.0768,790.0,5592.0,0.787,0.862,0
Kepler-903,Kepler-903 c,2.75,0.302,462.0,5534.0,1.08,0.926,0
Kepler-143,Kepler-143 c,2.36,0.1759,644.0,6010.0,1.037,0.987,0
Kepler-212,Kepler-212 c,2.06,0.2053,615.0,5914.0,1.141,1.137,0
Kepler-989,Kepler-989 b,2.56,0.0734,805.0,5185.0,0.91,0.831,0
Kepler-296,Kepler-296 e,1.08,0.1492,244.0,3517.0,0.37,0.38,1
Kepler-378,Kepler-378 c,1.8,0.1826,668.0,4799.0,1.818,0.971,0
Kepler-871,Kepler-871 b,3.14,0.1572,640.0,5900.0,0.951,1.065,0
Kepler-1424,Kepler-1424 b,1.1,0.188,571.0,5905.0,0.9,1.004,0
Kepler-107,Kepler-107 b,1.55,0.0441,1460.0,5851.0,1.411,1.142,0
Kepler-148,Kepler-148 c,3.55,0.049,962.0,5271.0,0.838,0.893,0
Kepler-988,Kepler-988 b,1.93,0.1085,368.0,3826.0,0.516,0.54,0
CoRoT-23,CoRoT-23 b,11.77,0.048,1660.0,5900.0,1.61,1.14,0
Kepler-1540,Kepler-1540 b,2.3,0.4198,238.0,4366.0,0.639,0.628,1
Kepler-191,Kepler-191 c,2.11,0.1276,578.0,5275.0,0.787,0.883,0
Kepler-474,Kepler-474 b,3.8,0.0603,1190.0,5716.0,1.344,0.911,0
Kepler-226,Kepler-226 d,1.3,0.0743,800.0,5185.0,0.91,0.831,0
Kepler-947,Kepler-947 b,2.4,0.1773,573.0,5754.0,0.905,1.021,0
Kepler-1035,Kepler-1035 b,1.0,0.0344,1228.0,5709.0,0.818,0.734,0
Kepler-1091,Kepler-1091 b,1.09,0.0232,1426.0,5672.0,0.754,0.81,0
K2-104,K2-104 b,1.79,0.0242,798.0,3712.0,0.48,0.51,0
Kepler-387,Kepler-387 c,1.0,0.0953,826.0,5772.0,1.003,0.824,0
Kepler-215,Kepler-215 d,2.45,0.1798,600.0,5741.0,1.008,0.813,0
Kepler-1556,Kepler-1556 b,2.06,0.082,900.0,5812.0,1.01,0.944,0
Kepler-1192,Kepler-1192 b,2.57,0.1693,600.0,5831.0,0.921,1.016,0
Kepler-795,Kepler-795 b,1.76,0.1808,579.0,5616.0,0.988,0.897,0
Kepler-74,Kepler-74 b,14.8,0.084,1250.0,6050.0,1.51,1.4,0
Kepler-1461,Kepler-1461 b,1.96,0.1709,452.0,4986.0,0.723,0.773,0
Kepler-1641,Kepler-1641 b,3.92,0.1473,908.0,6486.0,1.485,1.098,0
Kepler-1502,Kepler-1502 b,2.11,0.2482,613.0,6446.0,1.155,1.17,0
Kepler-202,Kepler-202 c,1.88,0.1132,505.0,4671.0,0.68,0.75,0
Kepler-391,Kepler-391 b,2.5,0.083,930.0,5038.0,2.879,1.27,0
Kepler-1001,Kepler-1001 c,1.9,0.085,802.0,5734.0,0.85,0.959,0
Kepler-205,Kepler-205 c,1.58,0.1209,389.0,4121.0,0.553,0.57,0
Kepler-1924,Kepler-1924 b,1.2,0.1163,716.0,6028.0,0.844,0.89,0
Kepler-270,Kepler-270 c,1.59,0.178,760.0,6419.0,1.28,1.17,0
Kepler-1154,Kepler-1154 b,1.67,0.0604,1118.0,6163.0,1.022,1.09,0
Kepler-913,Kepler-913 b,2.62,0.0878,707.0,5412.0,0.769,0.856,0
Kepler-1154,Kepler-1154 c,1.67,0.0837,950.0,6163.0,1.022,1.09,0
Kepler-122,Kepler-122 b,1.92,0.064,1048.0,6102.0,0.97,1.07,0
Kepler-1294,Kepler-1294 b,3.02,0.4671,375.0,6032.0,0.929,1.014,0
Kepler-1137,Kepler-1137 b,2.9,0.186,990.0,7115.0,1.85,1.51,0
Kepler-153,Kepler-153 b,2.87,0.1274,621.0,5402.0,0.865,0.774,0
Kepler-222,Kepler-222 d,3.75,0.1777,522.0,5431.0,0.843,0.945,0
Kepler-443,Kepler-443 b,2.32,0.5594,233.0,4721.0,0.701,0.74,1
Kepler-361,Kepler-361 c,2.55,0.296,568.0,6321.0,1.23,1.14,0
Kepler-1437,Kepler-1437 b,1.32,0.0954,773.0,5796.0,0.871,0.966,0
Kepler-379,Kepler-379 c,2.22,0.32,517.0,6255.0,1.12,1.11,0
Kepler-342,Kepler-342 e,1.18,0.0293,1897.0,6297.0,1.369,1.247,0
Kepler-618,Kepler-618 b,2.31,0.047,1244.0,6086.0,1.01,1.05,0
Kepler-832,Kepler-832 b,2.25,0.073,935.0,5973.0,0.92,1.023,0
Kepler-730,Kepler-730 b,10.3,0.0714,1073.0,6116.0,1.13,1.157,0
Kepler-355,Kepler-355 c,2.82,0.176,634.0,5929.0,1.03,1.09,0
Kepler-1179,Kepler-1179 b,1.34,0.0346,1137.0,5266.0,0.829,0.765,0
Kepler-363,Kepler-363 c,2.35,0.0819,1295.0,5759.0,2.127,1.284,0
Kepler-256,Kepler-256 c,2.11,0.0434,1315.0,5553.0,1.25,0.949,0
Kepler-1736,Kepler-1736 b,2.44,0.2188,566.0,6085.0,0.973,0.976,0
Kepler-822,Kepler-822 b,1.52,0.0412,1240.0,5823.0,0.96,0.899,0
Kepler-1093,Kepler-1093 c,2.08,0.394,508.0,6429.0,1.262,1.011,0
Kepler-1387,Kepler-1387 b,0.87,0.031,1123.0,5017.0,0.797,0.76,0
Kepler-1155,Kepler-1155 b,2.6,0.201,615.0,5900.0,1.12,0.97,0
Kepler-624,Kepler-624 b,2.45,0.1172,852.0,6063.0,1.191,1.009,0
Kepler-838,Kepler-838 b,2.77,0.1266,777.0,6191.0,1.025,1.088,0
Kepler-227,Kepler-227 b,2.5,0.085,867.0,5763.0,0.99,0.92,0
Kepler-776,Kepler-776 b,1.38,0.0523,904.0,5093.0,0.847,0.794,0
Kepler-1057,Kepler-1057 b,2.75,0.1138,724.0,5853.0,0.895,0.99,0
Kepler-297,Kepler-297 c,7.54,0.3532,466.0,6150.0,1.04,1.04,0
Kepler-342,Kepler-342 b,2.06,0.127,849.0,6464.0,1.12,1.19,0
Kepler-1724,Kepler-1724 b,2.45,0.0683,999.0,6092.0,0.943,1.016,0
Kepler-175,Kepler-175 c,3.22,0.2109,583.0,6063.0,1.001,1.079,0
Kepler-1508,Kepler-1508 b,0.98,0.138,655.0,5746.0,0.921,0.817,0
Kepler-1338,Kepler-1338 b,0.92,0.0188,2021.0,6002.0,1.095,1.009,0
Kepler-267,Kepler-267 d,2.31,0.15,337.0,4081.0,0.527,0.552,0
Kepler-633,Kepler-633 c,2.45,0.1636,853.0,6282.0,1.549,1.03,0
Kepler-545,Kepler-545 b,2.47,0.1124,767.0,5936.0,0.965,1.075,0
Kepler-1682,Kepler-1682 b,2.54,0.1134,694.0,5570.0,0.904,0.882,0
Kepler-813,Kepler-813 b,4.23,0.1439,817.0,5372.0,1.71,1.084,0
Kepler-1800,Kepler-1800 b,1.59,0.052,1301.0,5404.0,1.55,0.909,0
Kepler-1166,Kepler-1166 b,1.94,0.1957,563.0,5605.0,1.015,0.904,0
Kepler-1760,Kepler-1760 b,1.83,0.2209,473.0,5448.0,0.857,0.977,0
Kepler-397,Kepler-397 c,6.01,0.4756,295.0,5307.0,0.757,0.782,0
Kepler-353,Kepler-353 c,1.8,0.0665,472.0,3757.0,0.539,0.552,0
Kepler-377,Kepler-377 c,1.58,0.1723,626.0,6167.0,0.913,0.933,0
Kepler-975,Kepler-975 b,3.97,0.0303,1599.0,4883.0,1.667,0.951,0
Kepler-610,Kepler-610 c,2.63,0.5594,318.0,5713.0,0.893,1.01,0
Kepler-1213,Kepler-1213 b,1.29,0.0635,1156.0,6074.0,1.183,1.197,0
Kepler-1069,Kepler-1069 b,2.02,0.1632,693.0,5790.0,1.203,1.013,0
Kepler-501,Kepler-501 b,4.59,0.0627,1125.0,5794.0,1.216,1.032,0
Kepler-1793,Kepler-1793 b,2.91,0.0786,714.0,5189.0,0.765,0.845,0
Kepler-1578,Kepler-1578 b,1.24,0.0252,1699.0,6046.0,1.023,1.011,0
Kepler-1669,Kepler-1669 d,1.14,0.046,654.0,4265.0,0.556,0.585,0
KOI-1599,KOI-1599.02,1.9,0.109,739.0,5760.0,0.92,0.94,0
Kepler-1303,Kepler-1303 b,1.25,0.0751,891.0,5853.0,0.895,0.99,0
Kepler-919,Kepler-919 b,1.93,0.0981,869.0,6093.0,1.025,1.025,0
Kepler-636,Kepler-636 b,3.58,0.113,518.0,4886.0,0.653,0.744,0
Kepler-296,Kepler-296 c,1.38,0.0465,446.0,3526.0,0.383,0.394,0
Kepler-1150,Kepler-1150 b,2.41,0.0382,1432.0,4827.0,1.727,0.952,0
Kepler-1747,Kepler-1747 b,4.11,0.066,875.0,5477.0,0.865,0.983,0
Kepler-656,Kepler-656 b,3.69,0.0232,1570.0,5546.0,0.956,1.042,0
Kepler-1161,Kepler-1161 b,1.93,0.077,468.0,4083.0,0.519,0.53,0
Kepler-1301,Kepler-1301 b,1.35,0.0815,734.0,5354.0,0.788,0.884,0
Kepler-585,Kepler-585 b,2.54,0.0375,1178.0,5461.0,0.897,0.926,0
Kepler-1987,Kepler-1987 e,1.58,0.075,608.0,4601.0,0.67,0.74,0
Kepler-901,Kepler-901 b,1.21,0.0366,645.0,3916.0,0.51,0.53,0
Kepler-263,Kepler-263 c,2.18,0.2326,386.0,4987.0,0.716,0.749,0
Kepler-1197,Kepler-1197 b,1.15,0.0271,975.0,4555.0,0.638,0.646,0
Kepler-1312,Kepler-1312 b,1.8,0.0575,923.0,5674.0,0.782,0.851,0
Kepler-1965,Kepler-1965 b,1.06,0.2305,494.0,5864.0,0.842,0.929,0
Kepler-1152,Kepler-1152 b,1.07,0.022,879.0,4072.0,0.527,0.552,0
Kepler-368,Kepler-368 c,1.42,0.3115,376.0,5501.0,0.747,0.77,0
Kepler-1381,Kepler-1381 b,2.41,0.1728,649.0,6137.0,0.994,1.067,0
Kepler-369,Kepler-369 b,1.6,0.03,737.0,3737.0,0.6,0.47,0
Kepler-357,Kepler-357 d,2.2,0.237,383.0,4978.0,0.72,0.727,0
Kepler-1229,Kepler-1229 b,1.66,0.313,228.0,4013.0,0.52,0.543,1
Kepler-463,Kepler-463 b,4.95,0.0797,1060.0,5613.0,1.462,0.837,0
Kepler-149,Kepler-149 d,4.28,0.5642,306.0,5376.0,0.94,0.934,0
Kepler-759,Kepler-759 b,2.4,0.234,530.0,5900.0,0.97,0.98,0
Kepler-415,Kepler-415 c,2.62,0.0727,593.0,4523.0,0.643,0.674,0
Kepler-634,Kepler-634 b,2.06,0.0578,1309.0,6011.0,1.409,0.963,0
Kepler-944,Kepler-944 b,2.42,0.2288,459.0,5654.0,0.774,0.865,0
Kepler-1316,Kepler-1316 b,3.39,0.3859,446.0,5837.0,1.159,0.988,0
Kepler-1050,Kepler-1050 b,1.51,0.1227,786.0,6086.0,1.052,1.037,0
Kepler-1669,Kepler-1669 c,1.81,0.0223,897.0,4056.0,0.56,0.57,0
KOI-3503,KOI-3503 c,0.8,0.1911,589.0,6338.0,0.847,0.918,0
Kepler-1455,Kepler-1455 b,1.93,0.2149,298.0,3950.0,0.518,0.544,1
Kepler-1448,Kepler-1448 b,1.73,0.1058,811.0,6075.0,0.969,1.048,0
Kepler-186,Kepler-186 c,1.14,0.0564,464.0,3751.0,0.443,0.452,0
Kepler-80,Kepler-80 e,1.6,0.04558,628.0,4040.0,0.57,0.59,0
Kepler-935,Kepler-935 b,1.55,0.0527,879.0,4929.0,0.861,0.817,0
Kepler-1356,Kepler-1356 b,1.45,0.0136,1718.0,5238.0,0.752,0.836,0
Kepler-326,Kepler-326 b,1.25,0.0315,1127.0,5103.0,0.789,0.82,0
NGTS-34,NGTS-34 b,3.65,0.257,624.0,6134.0,1.367,1.266,0
Kepler-213,Kepler-213 b,1.33,0.0367,1326.0,5736.0,1.008,1.087,0
Kepler-778,Kepler-778 b,1.58,0.0453,977.0,5311.0,0.788,0.884,0
Kepler-1559,Kepler-1559 b,0.7,0.0187,1581.0,5406.0,0.822,0.927,0
Kepler-341,Kepler-341 d,2.04,0.1765,622.0,5616.0,1.111,0.957,0
Kepler-249,Kepler-249 d,1.21,0.0921,336.0,3568.0,0.42,0.44,0
Kepler-107,Kepler-107 d,1.07,0.0813,1075.0,5851.0,1.411,1.142,0
Kepler-31,Kepler-31 c,4.99,0.253,615.0,6505.0,1.163,1.185,0
Kepler-681,Kepler-681 b,3.16,0.1642,491.0,5127.0,0.775,0.845,0
Kepler-357,Kepler-357 c,2.51,0.1191,576.0,4954.0,0.828,0.791,0
Kepler-267,Kepler-267 b,2.0,0.036,689.0,4081.0,0.527,0.552,0
HAT-P-2,HAT-P-2 b,11.242627,0.0679,1398.0,6290.0,1.506,1.308,0
TrES-4,TrES-4 b,19.626959,0.05092,1785.0,6200.0,1.816,1.394,0
HAT-P-6,HAT-P-6 b,14.90797,0.05237,1675.0,6570.0,1.463,1.29,0
HD 209458,HD 209458 b,15.233,0.04707,1449.0,6065.0,1.155,1.119,0
WASP-2,WASP-2 b,12.005,0.03138,1304.0,5200.0,0.84,0.89,0
HAT-P-30,HAT-P-30 b,15.02,0.0419,1630.0,6304.0,1.215,1.242,0
HAT-P-32,HAT-P-32 b,20.053,0.0343,1786.0,6207.0,1.219,1.16,0
KOI-13,KOI-13 b,20.5,0.035,3257.0,8848.0,2.44,1.83,0
Kepler-17,Kepler-17 b,14.68,0.02591,1570.0,5781.0,1.01034,1.04,0
Qatar-2,Qatar-2 b,12.823,0.02149,1292.0,4645.0,0.713,0.74,0
WASP-79,WASP-79 b,23.43,0.0535,1900.0,6600.0,1.91,1.52,0
HAT-P-38,HAT-P-38 b,9.247,0.0523,1082.0,5330.0,0.923,0.886,0
HAT-P-41,HAT-P-41 b,18.887,0.0426,1941.0,6390.0,1.683,1.418,0
Kepler-1165,Kepler-1165 c,2.0,0.1949,647.0,6224.0,1.083,1.092,0
Kepler-452,Kepler-452 b,1.13,0.9892,220.0,5578.0,0.794,0.87,1
Kepler-278,Kepler-278 b,4.23,0.2068,829.0,4991.0,2.935,1.298,0
Kepler-1978,Kepler-1978 b,3.17,0.0915,676.0,5252.0,0.779,0.875,0
Kepler-142,Kepler-142 c,2.78,0.0542,1210.0,5726.0,1.243,0.933,0
Kepler-612,Kepler-612 b,2.33,0.0452,1046.0,5617.0,0.806,0.897,0
Kepler-1566,Kepler-1566 b,0.68,0.0118,1727.0,5166.0,0.678,0.752,0
Kepler-851,Kepler-851 b,1.69,0.08,895.0,5803.0,0.98,0.94,0
Kepler-896,Kepler-896 b,2.6,0.5162,304.0,5514.0,0.808,0.875,0
Kepler-36,Kepler-36 b,1.45,0.1133,977.0,5919.0,1.585,1.009,0
Kepler-1355,Kepler-1355 b,1.38,0.022,1428.0,5444.0,0.78,0.882,0
Kepler-647,Kepler-647 b,1.15,0.1224,770.0,5955.0,1.053,0.93,0
Kepler-100,Kepler-100 d,1.5,0.2163,674.0,5825.0,1.49,1.08,0
Kepler-1866,Kepler-1866 b,2.08,0.1016,834.0,5791.0,1.083,1.03,0
Kepler-1859,Kepler-1859 c,1.66,0.0473,1327.0,5887.0,1.235,1.09,0
Kepler-1915,Kepler-1915 b,3.15,0.1143,809.0,6031.0,1.056,1.035,0
Kepler-613,Kepler-613 b,2.3,0.124,710.0,5938.0,0.91,1.017,0
Kepler-261,Kepler-261 c,2.1,0.1574,509.0,5203.0,0.774,0.865,0
TOI-4184,TOI-4184 b,2.43,0.0336,412.0,3238.0,0.2347,0.2109,0
Kepler-76,Kepler-76 b,13.43,0.0274,1997.0,6309.0,1.412,1.15,0
WASP-74,WASP-74 b,15.737436,0.03443,1926.0,5984.0,1.536,1.191,0
HD 202772 A,HD 202772 A b,17.317905,0.05208,2132.0,6272.0,2.591,1.72,0
WASP-33,WASP-33 b,17.855937,0.0239,2781.7,7430.0,1.444,1.495,0
WASP-14,WASP-14 b,13.89916,0.037,1872.0,6475.0,1.318,1.3,0
WASP-11,WASP-11 b,11.09691,0.04375,992.0,4900.0,0.772,0.806,0
