hostname,pl_name,pl_rade,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,is_habitable
WASP-97,WASP-97 b,12.67,0.03303,1555.0,5640.0,1.06,1.12,0
HIP 9618,HIP 9618 b,3.9,0.1438,663.4,5609.0,0.9662,1.022,0
WASP-18,WASP-18 b,12.980022,0.02034,2392.0,6400.0,1.222,1.256,0
KELT-7,KELT-7 b,17.183397,0.04415,2048.0,6789.0,1.732,1.535,0
KELT-11,KELT-11 b,15.13212395,0.0623,1712.0,5375.0,2.69,1.44,0
GJ 436,GJ 436 b,4.2224,0.02872,649.0,3350.0,0.464,0.452,0
K2-34,K2-34 b,13.75,0.0442,1687.0,6168.0,1.42,1.16,0
TOI-1743,TOI-1743 b,1.83,0.03589,485.0,3277.0,0.338,0.339,0
WASP-96,WASP-96 b,13.45,0.0453,1285.0,5540.0,1.05,1.06,0
Kepler-920,Kepler-920 b,2.57,0.0686,902.0,5638.0,0.903,1.005,0
Kepler-204,Kepler-204 b,2.23,0.1156,806.0,6095.0,1.038,0.992,0
Ross 176,Ross 176 b,1.84,0.0464,682.0,4041.0,0.569,0.577,0
TOI-1811,TOI-1811 b,11.14172682,0.04389,962.2,4766.0,0.769,0.817,0
GJ 1132,GJ 1132 b,1.19151465,0.0157,583.8,3229.0,0.2211,0.1945,0
HD 17156,HD 17156 b,11.937585,0.1637,883.0,6079.0,1.487,1.297,0
TOI-2876,TOI-2876 b,9.6397234,0.0654,929.0,5271.0,0.873,0.939,0
Kepler-847,Kepler-847 b,1.18,0.0315,1054.0,4798.0,0.782,0.761,0
Kepler-1841,Kepler-1841 b,1.78,0.162,576.0,5495.0,0.92,0.843,0
TOI-172,TOI-172 b,10.816685,0.0914,1198.0,5645.0,1.777,1.128,0
TOI-2267 A,TOI-2267 c,1.14,0.0263,374.0,3030.0,0.2075,0.171,0
TOI-2267 A,TOI-2267 b,1.0,0.0205,424.0,3030.0,0.2075,0.171,0
TOI-2267 B,TOI-2267 d,1.13,0.0124,412.0,2930.0,0.13,0.0989,0
Kepler-856,Kepler-856 b,8.89,0.0787,825.0,5569.0,0.887,1.009,0
K2-266,K2-266 b,3.3,0.01306,1515.0,4285.0,0.703,0.686,0
Kepler-309,Kepler-309 c,2.09,0.349,203.0,3880.0,0.49,0.51,1
Kepler-724,Kepler-724 b,3.94,0.0433,1155.0,5609.0,0.944,0.983,0
Kepler-430,Kepler-430 c,1.48,0.4573,423.0,5831.0,1.238,1.032,0
NGTS-30,NGTS-30 b,10.40193409,0.408,500.0,5455.0,0.913,0.94,0
TIC 393818343,TIC 393818343 b,12.18416202,0.1291,805.5,5756.0,1.086,1.082,0
Kepler-1514,Kepler-1514 c,1.1758241,0.0997,1066.0,6145.0,1.289,1.196,0
K2-32,K2-32 b,5.13,0.08036,817.0,5275.0,0.845,0.856,0
Kepler-880,Kepler-880 c,1.53,0.1134,1090.0,6915.0,1.448,1.394,0
Kepler-169,Kepler-169 e,2.75,0.1065,678.0,5173.0,0.939,0.85,0
Kepler-132,Kepler-132 d,1.41,0.1308,738.0,5921.0,1.045,0.919,0
Kepler-1259,Kepler-1259 b,1.6,0.0141,1681.0,5172.0,0.767,0.878,0
Kepler-23,Kepler-23 d,2.28,0.1235,910.0,5828.0,1.548,1.078,0
TOI-3523 A,TOI-3523 A b,15.9727975,0.03559,1984.0,6450.0,1.448,1.131,0
Kepler-1765,Kepler-1765 b,2.82,0.0917,855.0,5692.0,1.064,0.946,0
WASP-148,WASP-148 b,8.092898,0.0845,940.0,5460.0,1.03,1.0,0
TOI-1937 A,TOI-1937 A b,13.97759893,0.01932,2097.0,5814.0,1.08,1.072,0
TOI-1107,TOI-1107 b,14.57167491,0.0561,1728.0,6311.0,1.81,1.35,0
WASP-82,WASP-82 b,19.17,0.0448,2200.0,6480.0,2.219,1.64,0
TOI-1259 A,TOI-1259 A b,11.45557828,0.0407,963.0,4775.0,0.711,0.744,0
Kepler-1131,Kepler-1131 b,1.44,0.0458,1189.0,5957.0,0.937,1.026,0
Kepler-836,Kepler-836 b,2.68,0.1016,871.0,6244.0,1.017,1.079,0
Kepler-1795,Kepler-1795 b,1.91,0.1004,525.0,4491.0,0.706,0.76,0
TOI-2196,TOI-2196 b,3.51,0.02234,1860.0,5634.0,1.043,1.032,0
HAT-P-56,HAT-P-56 b,16.432394,0.0423,1840.0,6566.0,1.428,1.296,0
TOI-1180,TOI-1180 b,3.03617429,0.082,638.18,4804.0,0.7425,0.7795,0
HATS-34,HATS-34 b,16.02887,0.03166,1445.0,5380.0,0.98,0.955,0
Kepler-240,Kepler-240 c,2.25,0.0712,696.0,4768.0,0.779,0.759,0
WASP-162,WASP-162 b,11.209,0.0871,910.0,5300.0,1.11,0.95,0
TOI-470,TOI-470 b,4.34,0.119,660.0,5190.0,0.831,0.87,0
WASP-71,WASP-71 b,15.13212395,0.046,2016.1,6050.0,2.17,1.53,0
TOI-2236,TOI-2236 b,14.36991326,0.05009,1688.0,6248.0,1.573,1.343,0
TOI-2000,TOI-2000 c,8.14,0.0878,1038.0,5611.0,1.134,1.082,0
Kepler-726,Kepler-726 b,2.6,0.1406,543.0,5481.0,0.708,0.806,0
K2-97,K2-97 b,13.45077684,0.0854,1566.0,4673.0,4.14,1.17,0
NGTS-14 A,NGTS-14 A b,4.976796,0.0403,1143.0,5187.0,0.842,0.898,0
KPS-1,KPS-1 b,11.54527,0.0269,1459.0,5165.0,0.907,0.892,0
Kepler-1061,Kepler-1061 b,1.69,0.0384,1332.0,5919.0,1.0,0.994,0
Kepler-273,Kepler-273 c,2.0,0.0748,865.0,5359.0,1.002,0.867,0
